"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
3.193	3.202	0.886
6.918	3.225	1.259
4.995	3.357	1.8
3.09	4.05	2.006
3.897	3.521	1.957
3.828	4.068	1.8
4.995	3.134	1.86
9.442	3.868	2.47
0.137	4.072	2.772
0.721	3.146	2.427
1.854	3.676	1.809
1.717	3.716	1.383
1.494	3.377	1.156
4.961	3.053	1.231
10.197	4.019	2.028
0.292	3.807	2.587
0.309	3.607	2.399
4.48	3.096	1.981
20.085	3.339	3.523
1.734	3.34	5.124
2.026	3.677	5.148
1.27	3.947	4.039
0.515	3.889	2.891
0	4.985	2.04
8.961	4.483	2.019
2.403	4.125	2.287
6.352	3.788	2.657
1.665	3.579	2.664
1.837	4.107	2.359
1.305	4.179	1.936
2.987	3.449	1.594
7.313	4.433	1.793
2.575	4.471	2.051
6.163	3.215	2.383
2.455	3.274	2.41
1.974	3.397	2.192
4.12	3.146	1.982
10.42	3.056	2.663
1.768	3.285	3.143
2.489	4.078	3
0.137	4.137	2.459
1.116	3.913	1.849
3.279	3.198	1.476
1.717	3.668	1.372
7.313	2.875	1.787
2.197	3.719	2.089
6.266	3.715	2.399
4.257	4.039	2.525
0.052	4.281	2.387
2.009	4.023	1.941
0.875	3.144	1.538
2.815	3.422	1.272
6.815	3.578	1.548
0.996	3.601	1.818
1.974	3.373	1.752
13.802	3.089	2.609
6.764	4.401	3.809
1.202	3.68	4.11
1.717	2.886	3.474
2.438	3.212	2.65
4.961	3.339	2.307
6.094	3.356	2.53
6.54	3.151	3.1
1.511	3.2	3.2
4.772	3.473	3.042
0.275	3.378	2.67
0	3.92	2.146
3.571	3.793	1.667
0.755	3.247	1.487
2.678	3.57	1.363
6.386	3.339	1.68
0.944	2.505	1.919
3.279	3.01	1.903
6.935	3.115	2.217
6.06	3.135	2.811
3.742	3.521	3.079
15.038	2.938	4.519
11.999	3.384	6.878
1.081	3.646	7.645
4.738	3.896	6.873
2.129	3.664	5.46
1.408	3.099	4.209
3.708	3.616	3.342
1.391	3.33	2.826
1.185	3.962	2.418
0.034	3.011	2.029
3.33	2.847	1.791
1.459	3.318	1.704
3.382	2.525	1.788
0.464	3.129	1.771
0.034	2.797	1.575
1.373	2.854	1.3
0.841	2.604	1.139
6.403	2.08	1.638
0.584	2.633	1.968
0.292	3.178	1.907
2.472	2.648	1.608
5.236	2.617	1.797
5.819	2.524	2.442
3.897	2.825	2.915
0.738	2.856	2.846
0	3.092	2.371
0.292	2.843	1.797
0.069	3.336	1.362
0.549	2.806	1.085
0.206	2.608	0.934
0.034	2.954	0.828
0.446	2.188	0.737
1.391	2	0.7
0.875	2.377	0.734
0.412	2.644	0.748
0.772	2.173	0.705
2.421	2.179	0.729
0.584	2.161	0.802
6.026	1.554	1.328
5.39	1.563	2.175
1.717	2.025	2.512
0.309	2.275	2.313
3.21	2.679	1.945
1.013	2.246	1.671
1.596	2.684	1.446
1.219	1.89	1.264
1.596	1.749	1.124
0	1.977	1.013
1.528	2.24	0.865
2.712	1.644	0.938
0.893	1.493	1.01
1.768	1.572	1.023
0.275	1.853	0.958
1.408	2.181	0.835
0.755	1.492	0.754
0.309	2.061	0.681
0.996	2.288	0.596
0.137	2.189	0.546
1.047	1.74	0.493
0	2.287	0.471
1.27	1.972	0.436
0.154	1.651	0.44
0.343	2.189	0.413
1.682	1.544	0.413
3.004	1.734	0.634
0.052	2.266	0.792
0	2.031	0.736
0.635	2.14	0.572
0	1.95	0.457
