"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0.309	2.175	0.132
1.682	2.471	0.16
0.086	2.676	0.249
0.017	2.584	0.256
0	2.851	0.195
1.013	2.116	0.148
0.927	2.358	0.183
0.103	2.554	0.231
0.017	2.431	0.211
0.12	2.636	0.155
0	2.516	0.11
0.258	2.288	0.084
0.704	2.493	0.09
3.674	2.424	0.282
12.326	2.442	1.492
0.258	2.628	2.457
0.841	2.872	2.461
5.304	2.578	2.194
0.893	2.852	1.93
0.979	2.87	1.611
0.755	2.542	1.253
2.3	2.962	0.988
0.275	3.887	0.878
2.06	3.383	0.77
0.927	3.141	0.726
0.532	3.195	0.667
1.528	3.267	0.581
0.721	3.134	0.547
0.841	2.82	0.509
3.159	2.459	0.561
0.738	2.421	0.667
6.832	2.271	1.085
0.824	1.99	1.396
1.442	2.727	1.371
6.438	3.126	1.48
4.069	3.312	1.747
0.034	3.263	1.791
0.567	3.606	1.457
0.755	3.203	1.055
5.442	3.566	1.002
1.064	3.957	1.146
2.523	4.091	1.159
3.313	4.037	1.112
1.871	3.855	1.11
1.064	3.666	1.033
1.425	3.155	0.875
0.206	3.849	0.727
1.957	4.218	0.588
4.498	3.808	0.673
1.185	3.553	0.871
1.339	3.235	0.894
0.154	3.187	0.768
0.189	4.44	0.572
5.511	2.967	0.652
0.515	2.694	0.874
0.103	3.11	0.885
0.017	3.177	0.68
1.408	3.188	0.485
2.026	3.728	0.451
0.841	4.21	0.519
0.154	3.726	0.514
0.052	3.908	0.414
2.18	3.935	0.33
0.052	4.157	0.373
3.639	3.461	0.431
0.154	4.714	0.563
0.858	3.904	0.552
4.566	3.593	0.59
4.429	3.953	0.857
1.236	3.354	1.084
0.172	3.141	1.011
0.24	3.974	0.738
0.137	4.094	0.48
1.356	4.088	0.331
0.893	3.77	0.323
7.536	3.668	0.659
2.386	4.156	1.103
4.154	4.108	1.339
1.185	3.824	1.337
2.266	3.133	1.148
1.219	3.656	0.954
12.034	3.775	1.396
1.94	3.52	2.002
0.79	3.689	2.061
0.343	3.999	1.596
4.206	3.838	1.17
37.44	3.569	3.974
3.142	3.554	8.512
1.717	4.47	9.219
0	4.592	7.019
6.317	4.331	5.008
7.948	3.743	4.542
0.601	3.849	4.227
11.794	3.091	5.119
11.45	2.551	7.322
1.957	2.741	8.081
0.12	3.173	7.168
4.257	3.7	5.702
1.974	3.798	4.513
11.879	3.537	5.521
5.304	3.851	6.533
1.202	3.868	6.394
1.837	4.139	5.387
3.227	3.964	4.318
6.815	3.363	4.474
0.446	3.634	4.352
0.601	3.456	3.829
7.107	3.952	3.951
0.292	3.47	3.865
4.069	3.267	3.73
3.09	3.382	3.414
0.549	3.774	3.081
6.249	3.334	3.343
2.026	3.984	3.349
4.841	3.785	3.449
2.867	3.475	3.294
1.305	3.813	2.999
4.498	3.909	2.798
3.742	4.097	2.648
2.472	3.165	2.541
6.575	3.128	3.138
6.867	3.317	4.166
10.952	2.648	6.437
3.399	3.853	7.28
9.03	3.679	8.351
10.661	4.259	10.078
1.047	3.989	10.035
9.356	3.498	10.659
10.317	3.523	12.507
4.051	3.899	12.662
8.017	3.404	13.216
0.034	4.065	11.877
0.652	3.868	9.824
2.009	3.203	7.839
0.172	4.014	6.381
0.309	3.527	5.29
0.721	3.936	4.465
5.734	4.268	4.459
5.287	3.208	5.152
3.348	3.666	5.257
0.549	3.846	4.904
7.485	3.033	5.666
4.463	3.449	6.137
5.716	3.309	6.797
3.76	3.633	6.657
4.172	3.436	6.352
0.738	3.948	5.646
2.901	3.892	4.813
3.708	3.016	4.46
6.317	3.027	5.253
2.18	3.75	5.328
3.073	3.638	4.934
2.026	3.866	4.366
0.034	3.611	3.78
0.704	3.77	3.181
10.952	3.115	5.051
2.352	3.025	5.978
5.596	2.516	6.893
0.086	3.167	6.451
0.91	2.978	5.452
1.202	2.938	4.448
8.669	3.027	5.442
2.97	2.087	6.13
3.21	2.091	6.338
0.755	3.057	5.708
3.348	2.81	5.074
0.704	2.826	4.431
3.124	2.382	4.116
0.875	2.97	3.741
0.446	2.862	3.319
11.055	3.034	5.26
3.21	2.71	6.444
0.017	2.636	6.343
0.017	2.899	5.33
3.433	2.696	4.529
0.206	2.495	3.927
3.279	3.23	3.52
0	3.408	3.208
0.275	3.462	2.829
0.584	3.094	2.443
0.017	2.665	2.145
0.223	2.443	1.902
0.086	2.669	1.712
2.781	3.385	1.602
2.472	2.929	1.677
0.584	2.031	1.761
0.584	2.759	1.671
0.618	3.028	1.499
3.142	2.896	1.477
0.893	2.338	1.534
0.549	2.144	1.498
0	2.098	1.349
4.172	2.278	1.607
0.979	1.771	1.762
1.802	2.086	1.756
1.871	2.601	1.658
7.794	2.256	2.728
8.223	2.094	4.642
1.425	1.85	5.323
0.12	2.213	4.845
0.137	2.527	3.815
0.052	2.707	2.889
0.206	2.673	2.247
0.755	2.444	1.853
0.034	1.993	1.624
0.584	1.587	1.444
0.326	2.07	1.312
0.961	1.93	1.211
1.305	2.175	1.166
0.721	1.583	1.154
0.309	1.702	1.101
0.343	1.785	0.999
14.111	2.098	3.193
7.931	1.835	6.11
0.086	2.013	7.029
0.086	2.423	6.101
0	1.926	4.588
0	1.949	3.36
0.532	2.018	2.563
0.154	1.783	2.095
0.206	1.985	1.788
0.601	1.496	1.569
0	2.158	1.414
0	1.836	1.264
2.953	1.28	1.455
0.464	0.766	1.553
0.258	1.588	1.5
1.442	1.99	1.343
2.249	1.592	1.391
1.116	1.305	1.413
0.24	2.068	1.346
0.532	1.3	1.179
5.459	1.725	1.719
2.232	1.537	2.196
0	1.399	2.239
0.103	1.423	1.909
0	1.601	1.506
0	1.092	1.192
0	1.794	0.982
0.172	1.613	0.847
0	1.691	0.762
0.309	1.505	0.698
0.618	1.712	0.665
0	1.307	0.654
0.103	1.303	0.613
0	0.992	0.557
0	1.153	0.503
0	1.021	0.459
0.034	1.332	0.425
0.172	1.15	0.403
0	1.413	0.391
0.172	1.259	0.376
0.069	1.105	0.364
0	1.519	0.349
0.017	1.217	0.328
0.103	1.058	0.308
0	1.066	0.296
0.258	1.409	0.285
1.03	1.599	0.301
0.91	1.107	0.366
0.103	1.539	0.417
1.888	1.375	0.499
0.172	1.037	0.553
0.979	1.216	0.537
4.584	1.027	1.047
2.747	1.319	1.594
0.189	1.275	1.716
0	1.249	1.467
0.017	0.98	1.104
0.017	0.854	0.813
0.12	1.327	0.627
0.172	1.526	0.519
0.103	1.009	0.456
0.223	1.222	0.411
0.36	1.578	0.383
0.378	0.64	0.371
0	1.385	0.359
1.15	1.416	0.34
0.772	1.373	0.375
0.841	1.024	0.414
2.781	0.911	0.704
3.931	1.762	1.21
0.137	1.177	1.419
0.086	1.511	1.277
0.343	1.446	0.978
0.052	1.118	0.733
1.013	1.142	0.579
0.069	1.912	0.524
0.052	0.717	0.463
0.017	1.316	0.387
1.116	0.992	0.362
0.103	1.252	0.382
0.206	1.132	0.369
0.137	1.46	0.327
0.189	1.178	0.285
0.464	1.431	0.259
0.017	1.903	0.254
2.266	1.651	0.353
0.429	1.693	0.467
0.567	1.753	0.493
0.258	1.283	0.443
1.047	2.081	0.381
0.017	1.075	0.36
0	1.543	0.309
0	0.949	0.238
0	1.263	0.182
1.459	1.923	0.17
0.584	1.588	0.246
0.052	1.578	0.29
0.034	1.356	0.253
0.635	1.028	0.202
0	1.492	0.19
0.12	1.032	0.17
0.292	1.415	0.147
2.558	1.181	0.34
0	1.194	0.49
0.309	1.127	0.49
0	2.252	0.398
0	1.621	0.295
0	1.499	0.216
0.017	1.563	0.165
0.189	1.557	0.138
0.052	1.761	0.132
0.309	1.922	0.129
1.15	1.46	0.152
0.91	1.579	0.225
0.137	1.927	0.277
0.326	1.735	0.255
1.545	1.658	0.232
0.704	1.558	0.282
2.918	1.511	0.504
0.326	1.216	0.636
0.429	1.607	0.605
0.292	1.76	0.48
0	2.014	0.357
0	1.642	0.253
3.862	1.485	0.495
0.223	1.794	0.709
0.326	1.82	0.726
0.446	1.777	0.594
0.326	1.811	0.464
0.395	2.077	0.372
0.052	1.768	0.31
0.086	2.038	0.252
0.275	1.785	0.205
0.086	1.581	0.181
0.395	1.578	0.167
0.772	1.893	0.176
2.901	2.038	0.348
0.601	1.981	0.521
1.442	1.605	0.564
1.442	1.843	0.551
2.97	2.139	0.664
0.704	1.86	0.746
0	1.764	0.683
0.721	2.2	0.513
1.133	1.995	0.401
2.798	1.969	0.503
0.326	2.008	0.614
0.172	1.914	0.579
3.828	2.588	0.637
0.36	2.025	0.743
0.36	2.104	0.71
0.549	2.698	0.565
0.017	2.629	0.432
0.103	1.772	0.319
1.408	2.257	0.257
0.223	2.588	0.287
0.034	2.5	0.282
0.532	1.822	0.233
2.815	2.591	0.286
0.017	2.583	0.42
0.584	2.71	0.424
0.687	2.555	0.359
1.081	2.579	0.32
1.906	2.43	0.343
0.069	3.202	0.402
0	2.58	0.354
0.549	2.592	0.253
5.785	2.233	0.613
6.695	2.042	1.548
0.601	2.523	2.047
0.601	3.093	1.898
0.223	3.212	1.431
0.618	3.119	1.006
0.944	2.917	0.748
0.429	3.466	0.624
0	3.211	0.529
0.618	3.039	0.43
3.519	2.939	0.492
3.056	2.475	0.765
1.579	3.134	0.954
0.137	2.27	0.932
1.133	2.351	0.745
11.004	2.318	1.525
2.523	2.428	2.356
0.24	3.06	2.471
3.021	3.829	2.004
3.588	3.356	1.68
0.858	4.437	1.511
8.309	3.018	1.885
2.798	2.502	2.269
1.27	2.444	2.248
2.009	2.288	1.884
2.163	2.58	1.532
0.807	3.271	1.293
0	3.248	1.054
0.017	3.339	0.794
0.12	3.393	0.584
0.515	4.046	0.459
1.648	3.362	0.433
11.845	3.325	1.405
0.103	4.358	2.247
0	4.791	2.268
0.721	4.645	1.724
0.154	3.831	1.221
0.91	3.542	0.891
1.356	3.666	0.742
1.03	3.716	0.708
1.854	3.16	0.703
0.052	3.546	0.707
0.464	3.495	0.618
2.421	4.145	0.541
4.807	3.448	0.771
9.751	3.966	1.658
14.334	2.902	3.62
2.575	3.462	4.787
0.172	4.172	4.509
0.841	3.979	3.359
0.24	4.485	2.304
7.107	4.167	1.985
5.751	3.693	2.326
3.468	3.258	2.614
3.365	3.178	2.573
1.957	3.068	2.291
2.094	3.576	1.933
7.811	2.825	2.213
1.494	3.185	2.416
1.545	3.245	2.269
0.258	3.316	1.861
1.047	3.69	1.426
7.811	3.254	1.66
4.463	3.008	2.218
15.502	2.703	4.008
4.103	2.995	5.525
6.369	4.155	5.954
3.038	4.013	5.264
2.18	3.813	4.275
4.223	3.255	3.563
0.549	3.748	2.996
1.631	3.319	2.454
3.09	2.861	2.107
7.639	3.029	2.7
0.275	3.616	2.984
0.755	3.578	2.727
4.017	3.971	2.299
0.103	3.767	2.033
2.146	2.931	1.747
4.79	3.645	1.772
7.227	4.287	2.37
1.373	3.94	2.684
1.116	3.904	2.496
14.901	3.724	3.749
21.664	3.505	7.967
11.553	3.3	12.897
5.631	3.478	14.499
5.545	4.388	12.974
21.578	3.173	15.046
3.159	3.27	16.383
2.97	2.678	15.072
1.768	3.472	11.903
3.244	3.138	9.086
9.184	3.22	9.038
1.528	3.768	8.581
0.841	3.55	7.571
0.017	3.606	6.24
3.107	3.419	5.081
8.12	3.615	5.809
1.94	4.188	5.978
6.901	5.136	6.262
1.631	3.491	5.91
3.931	2.991	5.576
10.094	3.776	7.021
2.987	3.763	7.406
1.099	4.179	6.864
4.498	3.745	6.105
2.335	3.019	5.303
0.412	2.898	4.593
0.824	3.287	3.882
14.128	3.591	6.494
2.438	4.055	7.903
3.227	3.84	7.761
1.682	3.57	6.623
4.755	3.136	5.982
2.558	2.972	5.297
1.923	4.206	4.674
0.326	3.65	4.049
2.747	3.757	3.464
2.3	3.361	3.112
5.802	2.867	3.791
1.82	4.543	3.954
1.013	4.068	3.715
7.777	3.376	4.513
2.644	2.91	4.72
11.399	3.187	6.908
4.412	3.486	8.046
9.751	3.476	9.828
2.884	3.136	9.752
3.691	3.932	8.623
0.154	3.478	7.126
2.506	3.739	5.723
6.987	3.379	6.069
3.725	3.68	6.116
1.682	3.283	5.723
6.077	3.976	5.862
0.584	4.257	5.485
7.519	3.581	6.263
4.257	3.14	6.715
3.382	3.106	6.588
5.27	3.251	6.742
12.583	2.814	10.202
2.249	2.685	11.467
0.704	3.474	10.627
3.262	3.462	8.727
2.335	3.155	7.068
0.326	1.945	5.86
0.91	2.641	4.89
3.142	2.264	4.567
0.275	2.558	4.206
9.133	2.985	6.163
1.185	2.95	6.782
2.489	2.805	6.417
0.996	2.891	5.557
1.081	2.803	4.672
5.511	2.248	5.209
2.85	1.878	5.612
5.339	2.526	6.534
0.24	2.553	6.345
0.532	2.149	5.568
3.519	3.179	4.901
2.609	2.64	4.448
1.185	2.833	4.062
2.232	2.94	3.641
4.704	2.881	4.027
0.378	2.339	3.992
2.249	2.775	3.645
2.18	2.234	3.304
3.777	2.622	3.5
2.317	1.794	3.667
0.24	2.75	3.46
3.554	2.14	3.585
1.013	2.645	3.402
0.549	2.816	3.083
1.064	2.863	2.695
0.704	3.35	2.376
1.064	2.781	2.132
0.052	2.774	1.944
0	2.073	1.741
0.258	2.14	1.547
1.391	2.279	1.424
0.704	1.75	1.401
1.906	1.854	1.438
1.648	2.096	1.473
0.275	2.192	1.469
5.116	1.443	2.33
22.076	1.335	8.417
2.266	1.773	13.3
1.116	2.307	13.502
1.099	2.17	10.685
0.498	2.192	7.773
2.335	1.595	5.995
0.446	2.449	4.83
3.433	1.905	4.554
2.798	1.591	4.621
0.154	1.671	4.325
0	1.797	3.768
0.069	2.214	3.158
0	1.917	2.661
0.017	2.354	2.29
0.223	1.484	2.019
0.618	1.593	1.831
0	2.144	1.702
2.764	1.598	1.922
3.244	2.006	2.389
4.892	1.669	3.45
5.596	1.466	4.925
0.223	1.43	5.162
0	1.647	4.563
13.751	1.454	7.267
0.395	1.443	8.637
0.137	1.474	8.181
0	1.953	6.585
0.343	2.314	5.058
0	1.9	3.98
2.352	1.801	3.48
0.309	1.368	3.147
0.738	0.946	2.826
2.781	1.639	2.886
4.772	2.004	3.658
5.579	1.431	5.123
2.421	1.807	5.673
0.584	1.65	5.272
0.532	1.806	4.432
0.858	1.761	3.62
0.206	1.793	3.017
0.052	2.221	2.562
1.837	1.684	2.305
0.052	1.442	2.144
0.052	1.311	1.951
0.154	1.402	1.73
2.386	1.385	1.856
0.395	1.063	1.885
0.017	1.258	1.787
0	1.555	1.586
0.017	1.616	1.385
0	1.23	1.228
0.103	1.122	1.114
0	1.472	1.032
0	1.36	0.962
0	1.904	0.899
0	1.049	0.844
0.086	1.522	0.797
0	0.871	0.759
0.446	1.011	0.729
0	1.052	0.718
0.137	1.123	0.692
0.584	1.323	0.665
1.425	1.187	0.748
0.172	1.191	0.811
0.532	1.405	0.794
0.137	1.575	0.738
0.154	1.568	0.667
0.034	0.892	0.599
0.086	1.2	0.541
0	1.238	0.497
0.515	1.539	0.469
0	1.6	0.469
0	2.093	0.451
0.618	1.572	0.426
0	1.38	0.43
0.12	1.659	0.414
0.137	1.722	0.387
0.069	1.321	0.364
0.172	1.6	0.344
0.24	1.426	0.334
0.154	1.453	0.33
0.172	1.31	0.323
0.189	1.715	0.312
0.498	1.618	0.308
0.017	1.478	0.315
0.034	1.394	0.297
0.24	1.577	0.269
0.017	1.303	0.255
0.034	1.24	0.238
0.258	1.964	0.223
1.391	1.227	0.279
0.481	1.052	0.362
0.086	0.945	0.389
0.772	1.358	0.353
0.635	1.336	0.341
2.3	1.244	0.536
0.137	1.152	0.645
0.103	1.241	0.608
0	1.585	0.484
0.12	1.59	0.366
0.378	1.281	0.296
0.378	1.666	0.274
0.017	1.814	0.267
0.017	1.546	0.239
0	1.461	0.202
0.052	1.236	0.172
0.052	1.516	0.154
0.137	1.357	0.145
0.034	1.612	0.143
0.395	1.632	0.142
0	1.673	0.153
0.24	1.363	0.151
0	1.119	0.145
0.12	2.084	0.132
0.429	1.796	0.127
0.069	1.634	0.14
0.034	1.406	0.138
0.052	1.987	0.12
0.189	1.763	0.106
0.154	2.223	0.105
0.137	1.457	0.107
0.069	1.78	0.106
0.103	1.905	0.099
0.017	1.799	0.091
0.017	1.707	0.081
0.12	1.443	0.072
1.923	1.654	0.145
0.652	1.526	0.269
1.116	1.399	0.339
0	1.39	0.35
0	1.76	0.282
0	1.714	0.19
0.189	1.481	0.125
0.429	1.558	0.105
1.167	1.28	0.132
5.528	1.598	0.736
3.21	1.28	1.452
0.841	2.09	1.671
5.356	1.499	2.039
0.309	1.758	2.055
0.086	1.841	1.766
0.292	1.7	1.326
0.464	1.504	0.973
0.515	1.496	0.76
0.017	1.59	0.632
0.12	2.065	0.522
0	2.094	0.429
0	2.375	0.355
0.172	2.013	0.3
0.086	2.15	0.27
0	2.368	0.247
0	2.578	0.22
0.172	2.014	0.197
0.567	2.329	0.195
1.682	1.87	0.242
4.446	1.697	0.707
0.755	2.398	1.012
0.052	2.455	1.013
0.875	1.941	0.801
0.601	2.247	0.625
1.03	1.725	0.525
0.034	2.176	0.474
0	2.02	0.393
0.875	1.998	0.312
0.652	1.983	0.303
0	2.399	0.308
1.116	1.808	0.283
2.455	2.227	0.368
0.206	1.888	0.489
0	2.607	0.471
0.172	2.372	0.355
0	1.85	0.253
0.446	2.19	0.191
0	2.97	0.173
0.704	2.597	0.165
0.841	2.364	0.193
3.382	2.26	0.408
0	2.421	0.597
0.017	2.868	0.577
0.069	2.953	0.426
0.446	3.574	0.296
4.206	2.329	0.492
0.275	2.874	0.718
0	3.405	0.729
3.21	2.799	0.668
0.154	3.63	0.69
0.206	2.123	0.62
2.558	2.947	0.512
4.12	2.88	0.721
0.12	3.294	0.915
0.464	2.826	0.843
0.635	2.554	0.644
0.343	3.277	0.487
2.867	3.621	0.419
0.12	3.074	0.496
1.562	2.758	0.492
0.36	3.029	0.468
2.592	3.223	0.437
0.052	3.386	0.483
0.034	3.616	0.428
0.549	4.484	0.31
0.996	3.802	0.251
3.45	3.764	0.307
2.627	3.915	0.519
0.687	3.442	0.674
1.167	2.62	0.629
4.395	2.54	0.744
7.09	2.658	1.39
20.034	2.725	3.92
3.038	2.512	6.358
3.639	3.06	6.612
2.421	2.883	5.354
1.7	2.971	3.983
2.129	2.887	2.95
0.052	4.072	2.27
1.219	3.104	1.751
1.322	3.143	1.42
2.884	2.724	1.317
6.026	3.322	1.816
4.446	3.139	2.398
4.034	2.667	2.823
17.596	3.397	5.392
0.172	3.403	7.012
3.262	2.811	6.841
1.906	2.548	5.495
0.704	3.784	4.172
0.875	3.614	3.149
0.721	3.662	2.449
0.635	2.943	1.989
0.979	3.335	1.681
1.356	3.31	1.49
3.21	3.286	1.439
1.837	3.596	1.488
1.391	4.285	1.473
0	3.438	1.341
0.979	3.462	1.122
0.515	4.029	0.961
2.06	3.292	0.875
2.815	3.886	0.921
1.185	3.773	1.029
0.052	3.849	1.006
0.652	3.227	0.847
16.36	3.532	2.683
3.433	3.492	4.35
0.189	4.015	4.597
5.665	4.157	4.043
2.695	2.888	3.408
1.974	3.056	2.88
2.661	3.763	2.41
6.128	3.907	2.502
5.905	3.996	2.954
1.288	3.873	3.043
8.927	4.206	3.576
8.137	3.66	4.586
3.244	3.978	4.84
0.275	3.759	4.34
1.871	3.153	3.423
0.034	3.986	2.644
0.841	4.167	2.056
15.725	3.135	3.78
4.274	4.166	5.341
3.554	4.162	5.568
6.094	3.43	5.349
4.927	3.702	5.01
7.21	3.411	5.275
3.33	3.866	5.049
1.27	4.464	4.459
4.103	3.259	3.888
4.395	4.309	3.484
7.673	3.936	4.038
1.94	3.878	4.154
0.154	4.118	3.75
0.738	3.878	3.023
0.601	4.7	2.386
1.837	4.527	1.969
6.335	4.461	2.198
0.584	4.405	2.403
0.378	3.939	2.263
7.777	3.349	2.694
5.407	3.393	3.378
2.026	4.082	3.556
0.017	4.008	3.189
5.442	3.499	2.943
8.017	2.274	3.759
7.33	3.22	4.959
1.768	3.436	5.176
3.159	3.201	4.636
0.584	3.365	3.828
0.91	3.437	3.045
0.841	4.275	2.435
0.704	4.227	2.018
1.631	4.269	1.746
0.137	4.395	1.59
1.099	3.643	1.424
0.326	3.671	1.293
3.605	3.449	1.269
2.781	3.785	1.386
2.695	3.734	1.51
1.528	3.778	1.533
7.88	3.657	2.107
4.154	3.673	2.619
9.545	2.635	3.848
0.652	3.017	4.23
3.828	3.325	3.949
0.549	3.525	3.305
5.751	2.373	3.212
4.378	3.411	3.291
2.403	3.437	3.189
2.644	3.17	2.873
2.043	3.078	2.503
1.322	3.463	2.158
12.309	3.397	3.359
9.699	2.042	5.635
12.274	2.969	8.496
1.442	2.332	9.223
0.875	3.462	8.033
3.828	3.31	6.33
12.463	2.655	7.175
10.18	2.609	9.61
0.154	3.595	10.133
0.292	2.902	8.779
8.103	2.703	8.252
1.511	2.863	7.409
0.927	2.61	6.386
2.712	3.591	5.28
2.077	3.276	4.454
3.176	2.761	4.033
0.841	2.533	3.652
3.159	2.786	3.383
12.961	2.923	5.738
5.373	2.879	7.975
5.253	2.129	9.286
7.725	2.871	10.363
0	2.688	9.698
3.021	2.684	8.374
2.077	2.411	6.893
2.317	2.191	5.821
3.588	3.369	5.162
0.498	2.575	4.606
0.275	3.447	3.993
2.712	2.565	3.522
1.837	2.8	3.209
0.395	2.535	2.959
1.888	2.954	2.661
2.747	2.451	2.597
1.871	3.341	2.534
1.15	2.261	2.415
0.052	1.899	2.199
0	2.476	1.91
1.837	2.704	1.67
0.24	2.634	1.584
0.429	2.015	1.491
2.111	2.211	1.418
4.669	2.409	2.067
0.36	2.104	2.345
1.064	2.215	2.24
0.875	1.587	1.969
3.485	2.25	2.087
3.124	1.886	2.467
2.609	2.073	2.719
0.034	2.547	2.603
0.36	2.688	2.232
1.957	2.147	1.865
0.206	2.327	1.667
0.137	1.699	1.478
1.442	2.143	1.3
0.91	2.295	1.227
0.172	1.882	1.172
1.116	2.344	1.078
1.888	1.859	1.073
1.219	2.491	1.111
0.189	2.449	1.097
0.189	2.255	0.983
0.875	2.291	0.855
0	2.28	0.786
1.288	1.75	0.73
3.502	1.651	1.138
0.343	1.706	1.348
0	2.009	1.298
0	2.671	1.079
0.12	2.023	0.867
0.069	2.455	0.725
0	1.838	0.633
0	1.569	0.567
1.202	1.779	0.534
0.927	1.456	0.58
0.206	1.666	0.623
0	1.519	0.587
0.154	2.101	0.509
0.017	1.478	0.443
0	1.822	0.393
0.12	2.167	0.357
0	1.85	0.336
0	1.825	0.316
0	1.731	0.296
0	2.546	0.279
0	1.874	0.264
0.927	1.604	0.266
0.086	2.005	0.312
0	1.966	0.319
0.154	1.26	0.288
0.309	1.389	0.264
0.824	1.166	0.27
2.403	1.141	0.514
0.721	1.399	0.672
0.069	1.393	0.686
1.562	1.534	0.613
0.052	1.848	0.57
0.412	1.289	0.497
0.103	1.392	0.416
0.12	1.879	0.343
0.481	1.2	0.292
1.476	1.614	0.297
0.086	1.002	0.359
0	1.322	0.347
0	1.286	0.278
0	1.864	0.212
0	1.313	0.17
0	1.923	0.145
0	1.594	0.131
0	1.376	0.121
0	1.314	0.114
0.807	1.597	0.122
0	1.3	0.165
0	1.347	0.171
0	1.079	0.145
0.24	1.424	0.121
0.052	1.645	0.118
0.017	1.788	0.114
0	1.586	0.102
0	0.887	0.09
0	0.737	0.08
0.172	0.738	0.076
0.034	1.56	0.082
0	1.775	0.083
0.086	0.824	0.077
0.017	0.751	0.074
0.395	1.862	0.076
0.669	1.251	0.104
0.034	0.978	0.144
0.292	1.365	0.144
0.601	1.231	0.139
0.172	0.868	0.152
0.172	0.956	0.146
0.309	1.002	0.129
0.137	1.761	0.12
0.154	0.598	0.108
0.669	1.397	0.105
0.086	0.977	0.127
0.12	1.33	0.124
3.725	0.988	0.452
2.163	1.312	0.839
2.043	1.137	1.13
2.575	1.364	1.313
0.79	0.954	1.271
1.648	0.692	1.22
2.026	0.981	1.222
1.236	0.946	1.198
0.618	1.27	1.075
0	1.405	0.885
0	1.482	0.672
0	1.007	0.495
2.094	0.861	0.551
4.601	1.526	1.057
0	1.532	1.346
0.052	1.524	1.26
1.974	1.194	1.099
0.137	1.28	0.959
0.052	1.159	0.802
0.069	1.457	0.628
0.172	1.697	0.491
0.12	1.511	0.405
0.086	1.835	0.348
0.069	1.224	0.305
0.309	1.409	0.273
0.103	1.564	0.26
0	1.59	0.242
0	1.318	0.213
0.017	1.495	0.184
0.017	1.699	0.164
0	1.806	0.149
0.137	1.18	0.139
0.996	1.494	0.153
0.429	1.832	0.213
0	1.66	0.242
0	2.131	0.21
0	1.577	0.162
0	1.737	0.126
0.069	1.883	0.105
0.464	1.058	0.104
0.669	1.951	0.136
4.034	1.173	0.52
3.622	1.538	1.083
2.695	1.405	1.527
0.017	1.85	1.539
0.309	1.683	1.244
1.734	0.932	1.018
1.167	1.516	0.882
2.249	0.97	0.966
0.841	1.383	0.975
5.253	1.224	1.398
0	2.121	1.584
0	1.583	1.43
0.567	1.85	1.091
0.79	1.904	0.833
2.335	1.565	0.81
1.253	1.713	0.848
3.691	1.767	1.096
0.189	1.833	1.194
0.017	1.968	1.061
0.137	1.945	0.806
0	1.898	0.592
0	1.803	0.448
0	2.364	0.356
0.069	1.594	0.299
0.017	1.823	0.265
0.549	1.318	0.248
2.266	1.769	0.35
0	1.681	0.476
0.206	1.985	0.472
0.412	1.904	0.393
2.111	1.925	0.388
1.717	2.417	0.482
0.979	2.074	0.572
0.601	1.744	0.565
0.292	2.055	0.485
1.494	2.097	0.402
1.425	1.74	0.411
5.202	2.621	0.769
0.189	2.255	1.039
0	2.647	0.987
0	2.902	0.726
0	3.02	0.486
0	3.152	0.331
1.253	2.949	0.264
1.545	2.518	0.316
0.292	2.829	0.402
9.442	1.953	1.205
4.017	2.251	2.138
0.961	2.544	2.409
0	2.848	2.043
1.099	3.197	1.482
0	3.245	1.076
0	2.972	0.79
0.017	3.206	0.587
0.052	2.664	0.454
4.137	2.236	0.607
6.678	2.244	1.334
0.137	2.744	1.792
0	2.756	1.682
0.206	2.702	1.26
0	2.941	0.888
0.343	2.924	0.645
0.189	2.722	0.517
0.378	3.118	0.446
2.421	2.993	0.441
2.026	3.27	0.567
0.652	3.304	0.679
1.167	3.521	0.656
0.086	3.288	0.581
0.841	2.278	0.474
2.712	2.806	0.451
5.991	2.452	0.916
8.36	2.184	1.966
2.695	2.129	2.677
1.751	3.362	2.614
1.081	3.216	2.126
0.069	3.255	1.586
1.047	3.731	1.141
0	3.855	0.87
0	3.668	0.674
0.258	4.166	0.525
0.086	4.483	0.435
1.596	3.65	0.399
1.837	3.583	0.472
9.219	3.435	1.147
0.944	2.986	1.731
1.837	3.127	1.783
4.395	3.675	1.62
1.408	3.64	1.498
2.489	2.961	1.332
3.536	3.573	1.224
1.7	3.825	1.197
0	4.356	1.079
0.652	3.519	0.828
0.961	4.128	0.624
0.979	3.441	0.53
1.442	3.661	0.508
0.24	3.778	0.513
0	3.333	0.451
0	4.021	0.344
0.172	3.131	0.256
8.377	2.892	0.712
10.3	3.378	1.991
1.854	3.613	2.83
1.236	3.965	2.744
0.635	4.031	2.124
4.463	4.162	1.609
2.678	3.587	1.443
4.721	3.99	1.497
4.549	4.77	1.598
2.936	3.313	1.658
5.648	3.948	1.763
0.498	4.566	1.747
6.661	3.957	1.774
0.841	4.079	1.769
2.369	2.993	1.577
0.154	3.805	1.306
1.579	3.987	1.008
5.167	3.951	0.983
6.077	3.366	1.414
7.502	2.914	2.181
6.575	2.879	2.941
4.189	2.842	3.27
2.094	2.885	2.998
0.154	3.948	2.416
0.395	3.423	1.756
5.699	4.2	1.464
4.618	3.448	1.664
0.549	2.975	1.797
1.253	3.781	1.589
